8414A,8284,VALENCIA AEROPUERTO,VALENCIA,392906N,002829W,56,1965-01-01,2022-02-02,
8416Y,8285,VALENCIA, VIVEROS,VALENCIA,392850N,002159W,11,1994-07-02,2022-02-02
8416,8285,VALENCIA,VALENCIA,392850N,002159W,11,1937-11-01,2022-02-02,
8293X,8290,XATIVA,VALENCIA,390006N,003125W,88,1990-04-02,2022-02-02,
2503X,8142,OLMEDO,VALLADOLID,411933N,044113W,740,1991-09-12,2017-12-10,
2539,8140,VALLADOLID AEROPUERTO,VALLADOLID,414243N,045120W,846,1936-11-01,2022-02-02,
2422,8141,VALLADOLID,VALLADOLID,413827N,044516W,735,1973-10-01,2022-02-02,
2755X,8056,BENAVENTE,ZAMORA,420039N,054000W,715,1988-12-17,2022-02-02,
2775X,8125,VILLARDECIERVOS,ZAMORA,415629N,061647W,850,1988-12-17,2022-02-02,
2614,8130,ZAMORA,ZAMORA,413056N,054407W,656,1920-02-01,2022-02-02,
9576C,8165,BUJARALOZ,ZARAGOZA,413121N,001028W,357,1992-07-07,2018-06-06,
9394X,8156,CALATAYUD,ZARAGOZA,411952N,013843W,582,1993-04-01,2022-02-02,
9390,8157,DAROCA,ZARAGOZA,410652N,012436W,779,1920-01-01,2022-02-02,
9244X,8090,SOS DEL REY CATOLICO,ZARAGOZA,422927N,011249W,626,1992-02-04,2022-02-02,
9434,8160,ZARAGOZA, AEROPUERTO,ZARAGOZA,413938N,010015W,249,1941-01-01,2022-02-02
9434P,8159,ZARAGOZA, VALDESPARTERA,ZARAGOZA,413715N,005606W,254,2012-10-01,2022-02-02
