0229I,8192,SABADELL AEROPUERTO,BARCELONA,413125N,020611E,146,1973-12-01,2016-04-20,
0255B,8188,SANTA SUSANNA,BARCELONA,413903N,024149E,40,2009-08-25,2022-01-11,
1082,8025,BILBAO AEROPUERTO,BIZKAIA,431753N,025423W,42,1947-03-01,2022-02-02,
1078I,8035,GUENES,BIZKAIA,431212N,030617W,208,1997-04-01,2022-02-02,
1055B,8024,LEKEITIO,BIZKAIA,432237N,023037W,12,1997-04-01,2020-03-29,
1057B,,MACHICHACO,BIZKAIA,432714N,024510W,93,1997-04-01,2022-02-02,
1059X,8059,PUNTA GALEA,BIZKAIA,432230N,030118W,90,2005-02-09,2022-02-02,
2117D,8144,ARANDA DE DUERO,BURGOS,413957N,034434W,790,2002-04-16,2022-02-02,
9111,8077,BELORADO,BURGOS,422516N,031013W,820,1989-04-18,2022-02-02,
2331,8075,BURGOS AEROPUERTO,BURGOS,422125N,033713W,891,1943-08-01,2022-02-02,
9051,8063,MEDINA DE POMAR,BURGOS,425512N,032858W,580,1949-09-01,2022-02-02,
2298,8149,PALACIOS DE LA SIERRA,BURGOS,415735N,030754W,1080,1934-02-01,2022-02-02,
3469,,CACERES, CIUDAD,CACERES,392833N,062235W,459,1920-01-01,1986-12-31
3469A,8261,CACERES,CACERES,392817N,062020W,394,1982-12-01,2022-02-02,
3526X,8251,CORIA,CACERES,400013N,063327W,313,1989-02-01,2022-02-02,
3434X,8254,NAVALMORAL DE LA MATA,CACERES,395645N,053457W,269,2001-09-22,2022-02-02,
3519X,8252,PLASENCIA,CACERES,400235N,060509W,415,1999-03-24,2022-02-02,
3463X,8263,TRUJILLO,CACERES,392857N,055115W,503,2003-02-06,2019-09-30,
3576X,8260,VALENCIA DE ALCANTARA,CACERES,392453N,071352W,444,1996-08-01,2022-02-02,
5973,8452,CADIZ,CADIZ,362959N,061528W,2,1935-11-01,2022-02-02,
5911A,8455,GRAZALEMA,CADIZ,364538N,052227W,913,2000-02-01,2022-02-02,
5960,8451,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,364502N,060321W,27,1946-02-01,2022-02-02,
5910,8449,ROTA, BASE NAVAL,CADIZ,363820N,061957W,21,1988-09-01,2022-02-02
5972X,8453,SAN FERNANDO,CADIZ,362756N,061220W,28,1997-03-01,2022-02-02,
6001,8458,TARIFA,CADIZ,360050N,053556W,32,1945-05-01,2022-02-02,
5995B,8457,VEJER DE LA FRONTERA,CADIZ,361444N,055754W,186,1997-03-01,2022-02-02,
1083L,8020,CASTRO URDIALES,CANTABRIA,432341N,031402W,45,2014-04-29,2022-02-02,
9001D,8032,REINOSA,CANTABRIA,425931N,040938W,870,2005-02-21,2022-02-02,
1159,8017,SAN VICENTE DE LA BARQUERA,CANTABRIA,432336N,042332W,38,1961-01-01,2022-02-02,
1109,8021,SANTANDER AEROPUERTO,CANTABRIA,432526N,034932W,3,1953-09-12,2022-02-02,
1110,,SANTANDER, CIUDAD,CANTABRIA,432754N,034908W,64,1924-01-01,1997-04-07
1111X,8023,SANTANDER,CANTABRIA,432928N,034802W,52,2012-03-01,2022-02-02,
1111,8023,SANTANDER,CANTABRIA,432928N,034802W,52,1946-06-01,2022-02-02,
9019B,8033,VALDERREDIBLE, POLIENTES   ,CANTABRIA,424823N,035602W,720,1993-01-01,2022-02-02
9563X,8237,CASTELLFORT,CASTELLON,402955N,001112W,1220,1991-11-20,2022-02-02,
8500A,8286,CASTELLON - ALMASSORA,CASTELLON,395726N,000419W,43,1976-01-01,2022-02-02,
8501,,CASTELLON DE LA PLANA,CASTELLON,395921N,000156W,23,1920-01-01,2022-01-31,
8489X,8241,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,402600N,001521W,1131,2009-01-25,2022-02-02,
8523X,8239,VINAROS,CASTELLON,403315N,002547E,111,1991-01-16,2020-12-14,
